city,name,slug,address,phone,cuisines,halal,lat,lng
# Drop Zizo's Tampa Bay + Dearborn/Detroit lead lists here, one restaurant per row, then run: npx tsx scripts/seed-directory.ts
# - city: tampa | dearborn | miami (metro slugs from src/content/eat-metros.ts; miami = all of Miami-Dade/Broward/Palm Beach)
# - slug: optional — generated from the name if blank
# - cuisines: |-separated from: lebanese|palestinian|yemeni|iraqi|egyptian|syrian|jordanian|moroccan|mediterranean
# - halal: reported | unknown  (NEVER "verified" here — that's only for claimed Sofratak restaurants)
# - lat/lng: optional — geocoded automatically via OpenStreetMap when blank
# Example (delete this line):
# tampa,Example Shawarma House,,123 W Kennedy Blvd Tampa FL 33609,(813) 555-0000,lebanese|mediterranean,reported,,
tampa,Petra Mediterranean Restaurant,,"E Busch Blvd, Tampa, FL",,palestinian|jordanian,reported,,
tampa,Byblos Cafe,,"S MacDill Ave, S Tampa, FL",,lebanese,unknown,,
tampa,Fresh Bites,,"Tampa, FL",,lebanese,reported,,
tampa,Bayshore Mediterranean Grill,,"Bayshore / S Tampa, FL",,mediterranean,unknown,,
tampa,Istanbul Mediterranean Grill & Market,,"Tampa, FL",,mediterranean,unknown,,
tampa,Olive Tree by Chef Yousef,,"Tampa, FL",,mediterranean,unknown,,
tampa,Petra Express Mediterranean Cuisine,,"Tampa, FL",,mediterranean,unknown,,
tampa,Fire Up Halal Grill,,"New Tampa + Temple Terrace (2 locations), FL",,mediterranean,reported,,
tampa,Tazza Turkish & Mediterranean Grill,,"N 56th St area, Tampa 33617, FL",,mediterranean,unknown,,
tampa,La Pita,,"Tampa, FL",,lebanese,unknown,,
tampa,Shawarma Asham,,"Tampa, FL",,syrian,reported,,
tampa,Mirage Restaurant,,"Tampa, FL",,mediterranean,unknown,,
tampa,Fresh Flame,,"Tampa, FL",,mediterranean,reported,,
tampa,Sara's Kebab House,,"Tampa area, FL",,mediterranean,reported,,
tampa,Hamada Kabobs,,"Tampa, FL",,egyptian,reported,,
tampa,Boustan,,"Largo / St Pete, FL",,lebanese,unknown,,
